Date,BITW20,% Change
Wed Jan 10 2018 19:00:00 GMT-0500,66195.73,-0.63%
Thu Jan 11 2018 19:00:00 GMT-0500,59026.48,-10.83%
Fri Jan 12 2018 19:00:00 GMT-0500,66105.5,11.99%
Sat Jan 13 2018 19:00:00 GMT-0500,73363.71,10.98%
Sun Jan 14 2018 19:00:00 GMT-0500,68190.9,-7.05%
Mon Jan 15 2018 19:00:00 GMT-0500,64503.82,-5.41%
Tue Jan 16 2018 19:00:00 GMT-0500,47101.53,-26.98%
Wed Jan 17 2018 19:00:00 GMT-0500,49035.97,4.11%
Thu Jan 18 2018 19:00:00 GMT-0500,50026.97,2.02%
Fri Jan 19 2018 19:00:00 GMT-0500,52780.68,5.50%
Sat Jan 20 2018 19:00:00 GMT-0500,60747.03,15.09%
Sun Jan 21 2018 19:00:00 GMT-0500,52275.03,-13.95%
Mon Jan 22 2018 19:00:00 GMT-0500,49199.61,-5.88%
Tue Jan 23 2018 19:00:00 GMT-0500,48857.07,-0.70%
Wed Jan 24 2018 19:00:00 GMT-0500,52735.57,7.94%
Thu Jan 25 2018 19:00:00 GMT-0500,53196.72,0.87%
Fri Jan 26 2018 19:00:00 GMT-0500,52238.2,-1.80%
Sat Jan 27 2018 19:00:00 GMT-0500,53347.05,2.12%
Sun Jan 28 2018 19:00:00 GMT-0500,55560.83,4.15%
Mon Jan 29 2018 19:00:00 GMT-0500,53177.29,-4.29%
Tue Jan 30 2018 19:00:00 GMT-0500,45211.52,-14.98%
