;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
We;12/26/2018;3760;3775;2751;3850;3610;;;;
Mo;12/24/2018;4070;3950;2415;4265;3925;;;;
;;0;;;;;;;;
Fr;12/21/2018;3775;4040;5616;4135;3605;;;;
Th;12/20/2018;3875;3675;4834;4150;3635;;;;
We;12/19/2018;3695;3550;4997;3890;3550;;;;
Tu;12/18/2018;3495;3475;3415;3560;3425;;;;
Mo;12/17/2018;3530;3180;4114;3570;3165;;;;
;;0;;;;;;;;
Fr;12/14/2018;3145;3235;3046;3265;3120;;;;
Th;12/13/2018;3215;3395;3796;3420;3190;;;;
We;12/12/2018;3420;3345;2665;3470;3305;;;;
