,Date,Open,High,Low,Close,Open Interest,SMAVG (15),date,price,log return future,log return CRIX
385,2019-03-06,3835.0,3900.0,3810.0,3840.0,2370.0,2155.0,2019-03-06,10075.29815,0.042616302154419514,0.04709068680472374
386,2019-03-05,3675.0,3865.0,3655.0,3835.0,2436.0,2046.0,2019-03-05,9611.843285,-0.028170876966696335,-0.029087224407155905
387,2019-03-04,3780.0,3795.0,3660.0,3690.0,2368.0,1928.0,2019-03-04,9895.53097,-0.0013218772579158245,-0.005388158758917958
388,2019-03-01,3785.0,3830.0,3780.0,3820.0,2420.0,1809.0,2019-03-01,9948.993565,0.005298025637555194,-7.346292348035848e-05
389,2019-02-28,3765.0,3875.0,3745.0,3790.0,2515.0,1682.0,2019-02-28,9949.724474,-0.003976148379639406,0.0006761145666316403
390,2019-02-27,3780.0,3815.0,3620.0,3710.0,2636.0,1550.0,2019-02-27,9942.999594,-0.006591981682152837,-0.0088804328282315
391,2019-02-26,3805.0,3820.0,3745.0,3775.0,2675.0,1410.0,2019-02-26,10031.69096,0.009240989853729654,0.023923805379054287
392,2019-02-25,3770.0,3845.0,3705.0,3820.0,2847.0,1266.0,2019-02-25,9794.542792,-0.03261867786279223,-0.048575792327185056
393,2019-02-22,3895.0,3970.0,3885.0,3930.0,2884.0,1114.0,2019-02-22,10282.06551,-0.01021720254665494,-0.019958650168440787
394,2019-02-21,3935.0,3985.0,3860.0,3900.0,2713.0,961.0,2019-02-21,10489.34327,0.005095552426600095,0.024874194350781222
395,2019-02-20,3915.0,3970.0,3880.0,3940.0,2278.0,816.0,2019-02-20,10231.64758,0.09085015329679551,0.007274465087167938
396,2019-02-19,3575.0,3975.0,3575.0,3935.0,1815.0,699.0,2019-02-19,10157.48788,0.00701757265864654,0.0966766637888561
397,2019-02-15,3550.0,3610.0,3535.0,3555.0,837.0,612.0,2019-02-15,9221.470286,-0.005617992304223261,-0.007291085992777648
