Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Wed Sep 13 2017 00:00:00 GMT+0000,6185.33,-1.43%
Thu Sep 14 2017 00:00:00 GMT+0000,5860.18,-5.26%
Fri Sep 15 2017 00:00:00 GMT+0000,4656.53,-20.54%
Sat Sep 16 2017 00:00:00 GMT+0000,5359.52,15.10%
Sun Sep 17 2017 00:00:00 GMT+0000,5321.12,-0.72%
Mon Sep 18 2017 00:00:00 GMT+0000,5326.81,0.11%
Tue Sep 19 2017 00:00:00 GMT+0000,6030.57,13.21%
Wed Sep 20 2017 00:00:00 GMT+0000,5850.89,-2.98%
Thu Sep 21 2017 00:00:00 GMT+0000,5798.45,-0.90%
Fri Sep 22 2017 00:00:00 GMT+0000,5351.91,-7.70%
Sat Sep 23 2017 00:00:00 GMT+0000,5412.98,1.14%
Sun Sep 24 2017 00:00:00 GMT+0000,5682.96,4.99%
Mon Sep 25 2017 00:00:00 GMT+0000,5541.62,-2.49%
Tue Sep 26 2017 00:00:00 GMT+0000,5886.02,6.21%
Wed Sep 27 2017 00:00:00 GMT+0000,5837.85,-0.82%
Thu Sep 28 2017 00:00:00 GMT+0000,6301.94,7.95%
Fri Sep 29 2017 00:00:00 GMT+0000,6223.89,-1.24%
Sat Sep 30 2017 00:00:00 GMT+0000,6140.95,-1.33%
Sun Oct 01 2017 00:00:00 GMT+0000,6359,3.55%
Mon Oct 02 2017 00:00:00 GMT+0000,6396.28,0.59%
Tue Oct 03 2017 00:00:00 GMT+0000,6344,-0.82%
Wed Oct 04 2017 00:00:00 GMT+0000,6219.27,-1.97%
Thu Oct 05 2017 00:00:00 GMT+0000,6110.33,-1.75%
Fri Oct 06 2017 00:00:00 GMT+0000,6277.87,2.74%
Sat Oct 07 2017 00:00:00 GMT+0000,6372.92,1.51%
Sun Oct 08 2017 00:00:00 GMT+0000,6456.56,1.31%
Mon Oct 09 2017 00:00:00 GMT+0000,6640.96,2.86%
Tue Oct 10 2017 00:00:00 GMT+0000,6596.8,-0.66%
Wed Oct 11 2017 00:00:00 GMT+0000,6620.7,0.36%
Thu Oct 12 2017 00:00:00 GMT+0000,6708.59,1.33%
Fri Oct 13 2017 00:00:00 GMT+0000,7196.01,7.27%
Sat Oct 14 2017 00:00:00 GMT+0000,7565.12,5.13%
Sun Oct 15 2017 00:00:00 GMT+0000,7730.73,2.19%
Mon Oct 16 2017 00:00:00 GMT+0000,7630.35,-1.30%
Tue Oct 17 2017 00:00:00 GMT+0000,7650.72,0.27%
Wed Oct 18 2017 00:00:00 GMT+0000,7416.29,-3.06%
Thu Oct 19 2017 00:00:00 GMT+0000,7330.44,-1.16%
Fri Oct 20 2017 00:00:00 GMT+0000,7387.63,0.78%
Sat Oct 21 2017 00:00:00 GMT+0000,7589.84,2.74%
Sun Oct 22 2017 00:00:00 GMT+0000,7557.89,-0.42%
Mon Oct 23 2017 00:00:00 GMT+0000,7492.03,-0.87%
Tue Oct 24 2017 00:00:00 GMT+0000,7350.36,-1.89%
Wed Oct 25 2017 00:00:00 GMT+0000,7144.76,-2.80%
Thu Oct 26 2017 00:00:00 GMT+0000,7320.29,2.46%
Fri Oct 27 2017 00:00:00 GMT+0000,7450.76,1.78%
Sat Oct 28 2017 00:00:00 GMT+0000,7382.89,-0.91%
Sun Oct 29 2017 00:00:00 GMT+0000,7370.34,-0.17%
Mon Oct 30 2017 00:00:00 GMT+0000,7786.33,5.64%
Tue Oct 31 2017 00:00:00 GMT+0000,7789.05,0.03%
Wed Nov 01 2017 00:00:00 GMT+0000,8010.95,2.85%
Thu Nov 02 2017 00:00:00 GMT+0000,8258.06,3.08%
Fri Nov 03 2017 00:00:00 GMT+0000,8498.25,2.91%
Sat Nov 04 2017 00:00:00 GMT+0000,8798.26,3.53%
Sun Nov 05 2017 00:00:00 GMT+0000,8931.86,1.52%
Mon Nov 06 2017 00:00:00 GMT+0000,8916.15,-0.18%
Tue Nov 07 2017 00:00:00 GMT+0000,8569.96,-3.88%
Wed Nov 08 2017 00:00:00 GMT+0000,8717.55,1.72%
Thu Nov 09 2017 00:00:00 GMT+0000,9154.45,5.01%
Fri Nov 10 2017 00:00:00 GMT+0000,9002.65,-1.66%
Sat Nov 11 2017 00:00:00 GMT+0000,8643.64,-3.99%
Sun Nov 12 2017 00:00:00 GMT+0000,8867.78,2.59%
